food_name,carbohydrate(100g),density(g/mL)
apple_pie,34.0,0.415
baby_back_ribs,17.86,0.72
baklava,37.8,0.79
beef_carpaccio,0.0,0.86
beef_tartare,0.4,0.95
beet_salad,0.0,0.15
beignets,53.69,0.17
bibimbap,8.18,0.68
bread_pudding,23.53,0.95
breakfast_burrito,23,0.74
bruschetta,21.32,1.01
caesar_salad,6.78,0.99
cannoli,35.06,0.89
caprese_salad,3.86,0.14
carrot_cake,51.73,1.28
ceviche,3.58,0.96
cheesecake,38.66,0.93
cheese_plate,1.3,0.95
chicken_curry,6.47,1.0
chicken_quesadilla,27.28,0.61
chicken_wings,0.6,0.5
chocolate_cake,60.3,0.74
chocolate_mousse,16.1,0.72
churros,48.87,0.51
clam_chowder,7.84,1.07
club_sandwich,22.6,0.19
crab_cakes,4.48,0.41
creme_brulee,17.85,0.63
croque_madame,0.57,0.19
cup_cakes,49.97,0.31
deviled_eggs,1.07,1.18
donuts,57.4,0.28
dumplings,20.49,0.16
edamame,8.91,0.66
eggs_benedict,8.48,1.03
escargots,2.48,0.5
falafel,28.96,0.59
filet_mignon,0.0,0.6
fish_and_chips,24.8,0.55
foie_gras,4.67,0.88
french_fries,41.0,0.24
french_onion_soup,3.3,1.02
french_toast,32.34,0.19
fried_calamari,14.06,0.2
fried_rice,26.4,0.51
frozen_yogurt,24.0,0.61
garlic_bread,42.0,0.26
gnocchi,37.9,0.63
greek_salad,3.22,1.06
grilled_cheese_sandwich,58.0,0.78
grilled_salmon,0.0,0.59
guacamole,8.51,2.03
gyoza,26.85,0.74
hamburger,24,0.96
hot_and_sour_soup,4.4,1.03
hot_dog,18.4,0.64
huevos_rancheros,8.8,0.76
hummus,14.0,1.04
ice_cream,24.0,0.74
lasagna,17.2,0.96
lobster_bisque,10.0,1.05
lobster_roll_sandwich,27.0,0.19
macaroni_and_cheese,23.0,0.8
macarons,38.0,0.51
miso_soup,2.86,1.22
mussels,7.0,0.89
nachos,32.0,0.56
omelette,0.6,1.01
onion_rings,44.0,0.2
oysters,12.0,0.85
pad_thai,14.3,0.93
paella,43.0,0.86
pancakes,28.0,0.66
panna_cotta,21.34,0.42
peking_duck,0.0,0.59
pho,10.39,1.04
pizza,33.0,0.47
pork_chop,0.0,1.04
poutine,12.5,0.24
prime_rib,0.0,0.63
pulled_pork_sandwich,31.52,1.05
ramen,31.52,1.05
ravioli,14.0,0.42
red_velvet_cake,45.1,0.61
risotto,20,0.88
samosa,32.21,0.16
sashimi,0,0.41
scallops,6.3,0.52
seaweed_salad,11,0.45
shrimp_and_grits,23,0.68
spaghetti_bolognese,24.00,1.06
spaghetti_carbonara,25.72,0.93
spring_rolls,4.3,1.18
steak,0,1.04
strawberry_shortcake,49,0.75
sushi,29.9,0.51
tacos,20,0.97
takoyaki,20,0.61
tiramisu,24.41,0.6
tuna_tartare,7.32,0.95
waffles,33,0.51
