Dish,Real,Estimated,Absolute Error,Absolute Percentage Error
1,2.0,80.88447478480204,78.88447478480204,3944.223739240102
2,34.0,5.794813332624608,28.205186667375393,82.95643137463351
3,8.0,22.57687960564762,14.576879605647619,182.21099507059523
4,62.0,16.455177228126345,45.544822771873655,73.45939156753816
5,84.0,105.90960060504423,21.909600605044233,26.082857863147897
6,48.0,17.758599161827973,30.241400838172027,63.00291841285839
7,35.0,0,35.0,100.0
8,8.0,20.712999182573967,12.712999182573967,158.9124897821746
9,36.0,11.942053640908846,24.057946359091154,66.82762877525322
10,8.0,0,8.0,100.0
11,18.0,4.036692261432447,13.963307738567554,77.57393188093086
12,30.0,18.519828129259732,11.480171870740268,38.267239569134226
13,12.0,11.508209216829183,0.49179078317081704,4.098256526423475
14,40.0,28.729046611640392,11.270953388359608,28.17738347089902
15,0.1,112.24890460252837,112.14890460252838,112148.90460252836
17,20.0,9.2797651028963,10.7202348971037,53.6011744855185
18,105.0,50.02393389819277,54.97606610180723,52.35815819219736
19,18.0,11.892458182266068,6.107541817733932,33.93078787629962
20,64.0,58.312844243312405,5.687155756687595,8.886180869824367
21,64.0,18.726006027765262,45.273993972234734,70.74061558161677
22,26.0,12.507994386282189,13.492005613717811,51.892329283530046
23,10.0,47.75977669970399,37.75977669970399,377.5977669970399
24,20.0,84.478868671328,64.478868671328,322.39434335664
25,210.0,0,210.0,100.0
26,44.0,36.697536165928526,7.3024638340714745,16.596508713798805
27,56.0,19.060771296749284,36.93922870325072,65.962908398662
28,0.1,13.765725773996188,13.665725773996188,13665.725773996186
29,51.0,0,51.0,100.0
30,7.0,17.770729659392167,10.770729659392167,153.86756656274525
31,7.0,3.519235980204928,3.480764019795072,49.725200282786744
32,145.0,28.159168128016542,116.84083187198345,80.57988404964375
33,20.0,222.28458202858934,202.28458202858934,1011.4229101429468
34,36.0,47.85979780282652,11.85979780282652,32.94388278562923
35,0.1,120.0714895672464,119.97148956724641,119971.4895672464
36,0.1,48.76115284162934,48.66115284162934,48661.15284162934
37,56.0,0,56.0,100.0
Mean,,,43.77113468975122,113.82265593983274
